,Bail Status,Days in Court,Offence Location,Date,Proceeding,Court,Offence Number,Offence,Election,Discharge Available,SS Available,CSO Available,Maximum (Summary)(Years),Maximum (Indictable)(Years),Has Lawyer,Not in Custody,Custody Unknown,Is In Custody,Abbotsford,New Westminster,North Vancouver,Port Coquitlam,Richmond,Surrey,Vancouver,Victoria
48,6.0,96,Mission BC,2023-03-22,FXD,001,355 a,PSP Over,1,0,0,0,2,10,1,0,0,1,1,0,0,0,0,0,0,0
49,0.0,33,Mission BC,2023-03-22,FXD,001,234 1,DWP,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
50,0.0,366,,2023-03-22,APP,001,95 1,DWP,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0
51,,0,,2023-03-22,APP,001,267 a,Assault w/ weapon,1,0,0,0,2,10,1,1,0,0,1,0,0,0,0,0,0,0
52,2.0,77,New Westminster BC,2023-03-22,IGP,001,430 4,Mischief,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
53,2.0,97,New Westminster BC,2023-03-22,IGP,001,267 a,Assault w/ weapon,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
54,,9,,2023-03-22,APP,001,490 2,Return of items seized,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
55,,0,,2023-03-22,APP,001,490 2,Return of items seized,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
56,2.0,238,New Westminster BC,2023-03-22,APW,001,267 b,ACBH,1,0,0,0,2,10,1,1,0,0,0,1,0,0,0,0,0,0
57,0.0,70,New Westminster BC,2023-03-22,DSP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
58,,0,,2023-03-22,APP,001,490 2 a,Return of items seized,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
59,,0,,2023-03-22,APP,001,490 2 a,Return of items seized,0,0,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0
60,8.0,161,New Westminster BC,2023-03-22,IGP,001,348 1 b,Break and enter with intent (not dwelling),1,0,0,0,2,10,0,0,0,1,0,1,0,0,0,0,0,0
61,0.0,434,New Westminster BC,2023-03-22,IGP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
62,0.0,408,New Westminster BC,2023-03-22,IGP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
63,2.0,679,New Westminster BC,2023-03-22,SNT,001,264.1 1 b,Utt Threats,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
64,2.0,604,New Westminster BC,2023-03-22,SNT,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0
65,2.0,449,New Westminster BC,2023-03-22,SNT,001,356 1 a,Theft of Mail,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
66,2.0,393,New Westminster BC,2023-03-22,SNT,001,356 1 a,Theft of Mail,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
67,2.0,679,,2023-03-22,SNT,001,356 1 a,Theft of Mail,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
68,,385,Burnaby BC,2023-03-22,SNT,001,356 1 a,Theft of Mail,1,0,0,0,2,10,1,1,0,0,0,1,0,0,0,0,0,0
69,2.0,139,New Westminster BC,2023-03-22,IGP,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
70,7.0,75,New Westminster BC,2023-03-22,JIR,001,271,Sexual Assault,1,0,0,0,2,14,0,0,0,1,0,1,0,0,0,0,0,0
71,2.0,273,New Westminster BC,2023-03-22,IGP,001,334 b,"Theft under $5,000",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
72,0.0,379,Golden BC,2023-03-22,IGP,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
73,0.0,413,New Westminster BC,2023-03-22,IGP,001,102 a,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
74,2.0,159,New Westminster BC,2023-03-22,FXD,001,490.031,Return of items seized,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
75,2.0,159,New Westminster BC,2023-03-22,FXD,001,490.031,Return of items seized,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
76,2.0,188,New Westminster BC,2023-03-22,IGP,001,266,Assault,1,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,0
77,2.0,160,New Westminster BC,2023-03-22,APP,001,355 b,PSP Under,1,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0
78,2.0,262,New Westminster BC,2023-03-22,DSP,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
79,2.0,262,New Westminster BC,2023-03-22,DSP,001,810 1 a,Peace bond,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
80,8.0,98,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,0
81,2.0,56,New Westminster BC,2023-03-22,DSP,001,430 4,Mischief,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
82,2.0,219,New Westminster BC,2023-03-22,DSP,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
83,2.0,56,New Westminster BC,2023-03-22,DSP,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
84,2.0,366,"Abbotsford, BC",2023-03-22,DSP,001,102 a,DWP,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0
85,2.0,115,"Surrey, BC",2023-03-22,DSP,001,430 4,Mischief,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
86,2.0,115,"Surrey, BC",2023-03-22,DSP,001,88 1,Possession of a weapon for a dangerous purpose,1,0,0,0,2,10,1,0,0,1,0,1,0,0,0,0,0,0
87,,49,"Surrey, BC",2023-03-22,DSP,001,430 4,Mischief,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
88,2.0,115,"Surrey, BC",2023-03-22,DSP,001,430 4,Mischief,1,0,0,0,2,2,1,0,0,1,0,1,0,0,0,0,0,0
89,2.0,102,New Westminster BC,2023-03-22,IGP,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
90,2.0,136,Chilliwack BC,2023-03-22,DSP,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
91,,252,New Westminster BC,2023-03-22,IGP,001,264,Criminal Harrassment,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
92,2.0,434,New Westminster BC,2023-03-22,IGP,001,430 4,Mischief,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
93,2.0,434,New Westminster BC,2023-03-22,IGP,001,348 1 b,Break and enter with intent (not dwelling),1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
94,,252,Richmond BC,2023-03-22,FXD,001,334 b,"Theft under $5,000",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
95,2.0,455,New Westminster BC,2023-03-22,FXD,001,334 b,"Theft under $5,000",1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
96,,160,,2023-03-22,FXD,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0
97,2.0,178,New Westminster BC,2023-03-22,IGP,001,348 1 a,Break and enter with intent (not dwelling),1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
98,2.0,365,New Westminster BC,2023-03-22,AHR,001,264.1 1,Utt Threats,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
99,2.0,17,New Westminster BC,2023-03-22,CLC,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
100,3.0,202,New Westminster BC,2023-03-22,FXD,001,267 a,Assault w/ weapon,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
101,3.0,95,New Westminster BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
102,6.0,21,New Westminster BC,2023-03-22,FXD,001,151,Sexual Interference w/ child,1,1,1,1,2,14,0,1,0,0,0,1,0,0,0,0,0,0
103,2.0,169,New Westminster BC,2023-03-22,FXD,001,267 b,ACBH,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
104,3.0,154,New Westminster BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
105,3.0,149,New Westminster BC,2023-03-22,FXD,001,127 1,Disobey Court Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
106,2.0,161,New Westminster BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
107,2.0,160,New Westminster BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
108,6.0,0,New Westminster BC,2023-03-22,FA,001,5 2,PPT,1,0,0,0,2,25,0,1,0,0,0,1,0,0,0,0,0,0
109,,231,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
110,2.0,78,Burnaby BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
111,2.0,55,Burnaby BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
112,2.0,18,New Westminster BC,2023-03-22,CLC,001,320.17,Flight from police,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
113,2.0,247,New Westminster BC,2023-03-22,FXD,001,264.1 1 a,Utt Threats,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
114,2.0,58,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
115,0.0,0,New Westminster BC,2023-03-22,FA,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
116,6.0,49,New Westminster BC,2023-03-22,APW,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
117,2.0,241,New Westminster BC,2023-03-22,AHR,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
118,3.0,658,New Westminster BC,2023-03-22,AHR,001,267 a,Assault w/ weapon,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
119,,56,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
120,2.0,35,New Westminster BC,2023-03-22,CLC,001,267 b,ACBH,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
121,0.0,189,New Westminster BC,2023-03-22,FXD,001,102 a,DWP,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0
122,2.0,96,New Westminster BC,2023-03-22,AHR,002,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
123,0.0,273,New Westminster BC,2023-03-22,FXD,001,320.13 1,Dangerous driving,1,0,0,0,2,10,1,1,0,0,0,1,0,0,0,0,0,0
124,6.0,21,New Westminster BC,2023-03-22,FXD,011,5 2,PPT,1,0,0,0,2,25,1,1,0,0,0,1,0,0,0,0,0,0
125,6.0,21,Maple Ridge BC,2023-03-22,FXD,010,5 1,Trafficking drugs,1,0,0,0,2,25,1,1,0,0,0,1,0,0,0,0,0,0
126,2.0,18,New Westminster BC,2023-03-22,CLC,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
127,2.0,119,New Westminster BC,2023-03-22,APW,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
128,,147,New Westminster BC,2023-03-22,FXD,001,264,Criminal Harrassment,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
129,2.0,101,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
130,2.0,409,New Westminster BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
131,2.0,159,New Westminster BC,2023-03-22,FXD,001,267 a,Assault w/ weapon,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
132,,0,New Westminster BC,2023-03-22,FA,001,320.16 1,Failing to stop at scene of accident,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
133,,63,New Westminster BC,2023-03-22,AHR,001,271,Sexual Assault,1,0,0,0,2,14,0,1,0,0,0,1,0,0,0,0,0,0
134,0.0,114,New Westminster BC,2023-03-22,FXD,001,102 a,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
135,2.0,206,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
136,2.0,51,Maple Ridge BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
137,,63,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
138,2.0,580,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
139,2.0,72,New Westminster BC,2023-03-22,FXD,001,267 c,Assault by choking,1,0,0,0,2,10,1,1,0,0,0,1,0,0,0,0,0,0
140,0.0,532,New Westminster BC,2023-03-22,FXD,001,267 a,Assault w/ weapon,1,0,0,0,2,10,1,0,1,0,0,1,0,0,0,0,0,0
141,3.0,80,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
142,2.0,141,Burnaby BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
143,2.0,141,New Westminster BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
144,2.0,39,New Westminster BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
145,2.0,365,New Westminster BC,2023-03-22,FXD,001,267 c,Assault by choking,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
146,2.0,343,New Westminster BC,2023-03-22,FXD,001,320.17,Flight from police,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
147,,352,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
148,,203,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
149,0.0,0,New Westminster BC,2023-03-22,FA,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0
150,,378,New Westminster BC,2023-03-22,AHR,001,320.14 1 a,Driving Impaired,1,0,0,0,2,5,0,1,0,0,0,1,0,0,0,0,0,0
151,0.0,107,New Westminster BC,2023-03-22,FXD,001,266,Assault,1,0,0,0,2,5,1,1,0,0,0,1,0,0,0,0,0,0
152,2.0,76,New Westminster BC,2023-03-22,CLC,001,267 a,Assault w/ weapon,1,0,0,0,2,10,0,1,0,0,0,1,0,0,0,0,0,0
153,2.0,164,Burnaby BC,2023-03-22,FXD,001,811,Breach of Recognizance,1,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0
154,6.0,0,Richmond BC,2023-03-22,JIR,001,145 4 a,Fail to comply with UT,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0
155,0.0,371,North Vancouver BC,2023-03-22,JIR,001,95 1,DWP,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0
156,0.0,266,North Vancouver BC,2023-03-22,JIR,001,95 1,DWP,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0
157,0.0,0,North Vancouver BC,2023-03-22,JIR,001,95 1,DWP,0,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0
158,6.0,0,North Vancouver BC,2023-03-22,JIR,001,266,Assault,1,0,0,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0
159,2.0,1165,Abbotsford BC,2023-03-22,FXD,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0
160,2.0,1165,Abbotsford BC,2023-03-22,FXD,001,344 1 b,Robbery (with firearm),3,1,1,1,5,25,0,1,0,0,0,0,1,0,0,0,0,0
161,6.0,373,North Vancouver BC,2023-03-22,FXD,001,88 1,Possession of a weapon for a dangerous purpose,1,0,0,0,2,10,0,0,0,1,0,0,1,0,0,0,0,0
162,6.0,373,North Vancouver BC,2023-03-22,FXD,002,90 1,Carrying concealed weapon,1,0,0,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0
163,6.0,373,North Vancouver BC,2023-03-22,FXD,004,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0
164,2.0,981,Vancouver BC,2023-03-22,FXD,001,145 5 a,Fail to comply with Order,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0
165,2.0,937,Langley BC,2023-03-22,FXD,001,344 1 b,Robbery (with firearm),3,1,1,1,5,25,0,0,0,1,0,0,1,0,0,0,0,0
166,2.0,726,White Rock BC,2023-03-22,FXD,001,320.13 1,Dangerous driving,1,0,0,0,2,10,0,0,0,1,0,0,1,0,0,0,0,0
167,2.0,726,Burnaby BC,2023-03-22,FXD,002,344 1 b,Robbery (with firearm),3,1,1,1,5,25,0,0,0,1,0,0,1,0,0,0,0,0
168,6.0,296,Vancouver BC,2023-03-22,FXD,001,344 1 b,Robbery (with firearm),3,1,1,1,5,25,1,0,0,1,0,0,1,0,0,0,0,0
169,2.0,8,North Vancouver BC,2023-03-22,ARB,001,733.1 1,Breach of Probation,1,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,0
170,6.0,8,West Vancouver BC,2023-03-22,JIR,001,264.1 1 a,Utt Threats,1,0,0,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0
171,2.0,181,Squamish BC,2023-03-22,FT,001,266,Assault,1,0,0,0,2,5,1,1,0,0,0,0,1,0,0,0,0,0
172,,70,West Vancouver BC,2023-03-22,FXD,001,267 c,Assault by choking,1,0,0,0,2,10,1,1,0,0,0,0,1,0,0,0,0,0
173,,70,West Vancouver BC,2023-03-22,PAR,001,334 b,"Theft under $5,000",1,0,0,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0
174,,112,North Vancouver BC,2023-03-22,FXD,001,271,Sexual Assault,1,0,0,0,2,14,1,1,0,0,0,0,1,0,0,0,0,0
175,,0,Whistler BC,2023-03-22,FA,001,430,Mischief,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0
176,6.0,28,West Vancouver BC,2023-03-22,PAR,001,463 b,"Attempt, accessory",1,0,0,0,2,10,0,1,0,0,0,0,1,0,0,0,0,0
177,6.0,28,West Vancouver BC,2023-03-22,PAR,001,380 1,Fraud - unspecified,3,0,0,0,5,14,0,1,0,0,0,0,1,0,0,0,0,0
178,2.0,36,Squamish BC,2023-03-22,PAR,001,95 1,DWP,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0
179,2.0,36,Squamish BC,2023-03-22,PAR,001,86 1,Unsafe storage of a firearm,1,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0
